BusinessDate,StoreID,PLU,Description,ItemType,CategoryLvl2Desc,CategoryLvl3Desc,ReceivedQuantity,SoldQuantity,EndQuantity,LatestOrder,StockedOut,GroupID,MissedSales,Month,Year,Weekday,leftover,Wastage,ZipCode,DriveThru,Address,InventoryEfficiency,InventoryInEfficiency
2019-06-29,18,3000227,Caprese Sandwich,Unassigned,Cold Case,Ready to Eat,4.0,1.0,4.0,9,0,3.0,0.0,6,2019,5,3.0,0.0,91101,NO,PASADENA,0.25,0.0
2019-06-29,18,830620,Honey Raisin Bran Muffin,Core,Bake Case,Muffins & Scones,2.0,1.0,0.0,7,1,3.0,2.56395,6,2019,5,1.0,1.0,91101,NO,PASADENA,0.5,1.0
2019-06-29,18,3000277,Mixed Berries & Granola Yogurt Parfait,Unassigned,Cold Case,Ready to Eat,4.0,3.0,4.0,16,0,3.0,0.0,6,2019,5,1.0,0.0,91101,NO,PASADENA,0.75,0.0
2019-06-29,18,3000278,Breakfast Burrito Egg Beans & Rice,Unassigned,Cold Case,Ready to Eat,1.0,2.0,1.0,21,0,3.0,0.0,6,2019,5,0.0,0.0,91101,NO,PASADENA,2.0,0.0
2019-06-29,18,851004,Jalapeno Cheese Bagel,Core,Bake Case,Bagels,9.0,6.0,0.0,15,0,3.0,0.0,6,2019,5,3.0,3.0,91101,NO,PASADENA,0.6666666666666666,0.0
2019-06-29,18,820602,Everything Bagel,Core,Bake Case,Bagels,6.0,4.0,0.0,16,0,3.0,0.0,6,2019,5,2.0,2.0,91101,NO,PASADENA,0.6666666666666666,0.0
2019-06-29,18,810407,Plain Bagel,Core,Bake Case,Bagels,9.0,7.0,0.0,12,0,3.0,0.0,6,2019,5,2.0,2.0,91101,NO,PASADENA,0.7777777777777778,0.0
2019-06-29,18,820801,Blueberry Scone,Core,Bake Case,Muffins & Scones,8.0,6.0,0.0,16,0,3.0,0.0,6,2019,5,2.0,2.0,91101,NO,PASADENA,0.75,0.0
2019-06-29,18,820902,Butter Croissant,Core,Bake Case,Pastries,8.0,7.0,0.0,15,1,3.0,0.618387,6,2019,5,1.0,1.0,91101,NO,PASADENA,0.875,0.14285714285714285
2019-06-29,18,820224,Chocolate Croissant,Core,Bake Case,Pastries,10.0,3.0,0.0,18,0,3.0,0.0,6,2019,5,7.0,7.0,91101,NO,PASADENA,0.3,0.0
2019-06-29,18,810703,Cinnamon Roll,Core,Bake Case,Pastries,6.0,2.0,0.0,12,0,3.0,0.0,6,2019,5,4.0,4.0,91101,NO,PASADENA,0.3333333333333333,0.0
2019-06-29,18,3000210,Cookie - Chocolate Chunk,Core,Bake Case,Cookies & Bars,2.0,1.0,0.0,15,1,3.0,0.738732,6,2019,5,1.0,1.0,91101,NO,PASADENA,0.5,1.0
2019-06-29,18,3000096,Smoked Salmon Sandwich,Unassigned,Cold Case,Ready to Eat,2.0,3.0,4.0,17,0,3.0,0.0,6,2019,5,0.0,0.0,91101,NO,PASADENA,1.5,0.0
2019-06-29,18,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,Unassigned,Cold Case,Ready to Eat,4.0,3.0,4.0,9,0,3.0,0.0,6,2019,5,1.0,0.0,91101,NO,PASADENA,0.75,0.0
2019-06-29,18,3000162,Protein Box,Unassigned,Cold Case,Ready to Eat,4.0,6.0,0.0,12,1,3.0,1.32469,6,2019,5,0.0,0.0,91101,NO,PASADENA,1.5,0.16666666666666666
2019-06-29,18,3000181,Mixed Fruit Snack Pot,Unassigned,Cold Case,Ready to Eat,1.0,3.0,0.0,9,1,3.0,0.964178,6,2019,5,0.0,0.0,91101,NO,PASADENA,3.0,0.3333333333333333
2019-06-29,18,3000207,Danish - Classic Cheese,Core,Bake Case,Pastries,8.0,4.0,0.0,19,0,3.0,0.0,6,2019,5,4.0,4.0,91101,NO,PASADENA,0.5,0.0
2019-06-29,18,3000209,Croissant - White Cheddar Jalapeno,Core,Bake Case,Pastries,6.0,6.0,0.0,16,1,3.0,0.258101,6,2019,5,0.0,0.0,91101,NO,PASADENA,1.0,0.16666666666666666
2019-06-29,18,3000211,Muffin - Blueberry Streusel,Core,Bake Case,Muffins & Scones,10.0,5.0,0.0,18,0,3.0,0.0,6,2019,5,5.0,5.0,91101,NO,PASADENA,0.5,0.0
2019-06-29,18,3000212,Muffin - Double Chocolate,Core,Bake Case,Muffins & Scones,2.0,1.0,0.0,18,1,3.0,0.274095,6,2019,5,1.0,1.0,91101,NO,PASADENA,0.5,1.0
2019-06-29,18,3000214,Coffee Cake with Streusel,Core,Bake Case,Cakes & Breads,8.0,2.0,8.0,16,0,3.0,0.0,6,2019,5,6.0,0.0,91101,NO,PASADENA,0.25,0.0
2019-06-29,18,3000024,Lemon Loaf,Core,Bake Case,Cakes & Breads,8.0,6.0,8.0,18,0,3.0,0.0,6,2019,5,2.0,0.0,91101,NO,PASADENA,0.75,0.0
2019-06-29,18,841402,Almond Croissant,Core,Bake Case,Pastries,10.0,6.0,0.0,16,0,3.0,0.0,6,2019,5,4.0,4.0,91101,NO,PASADENA,0.6,0.0
2019-06-30,18,830620,Honey Raisin Bran Muffin,Core,Bake Case,Muffins & Scones,2.0,1.0,0.0,21,1,3.0,0.014638,6,2019,6,1.0,1.0,91101,NO,PASADENA,0.5,1.0
2019-06-30,18,3000277,Mixed Berries & Granola Yogurt Parfait,Unassigned,Cold Case,Ready to Eat,4.0,2.0,0.0,17,0,3.0,0.0,6,2019,6,2.0,2.0,91101,NO,PASADENA,0.5,0.0
2019-06-30,18,3000278,Breakfast Burrito Egg Beans & Rice,Unassigned,Cold Case,Ready to Eat,1.0,1.0,0.0,15,1,3.0,0.195563,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,1.0
2019-06-30,18,851004,Jalapeno Cheese Bagel,Core,Bake Case,Bagels,9.0,4.0,0.0,18,0,3.0,0.0,6,2019,6,5.0,5.0,91101,NO,PASADENA,0.4444444444444444,0.0
2019-06-30,18,820602,Everything Bagel,Core,Bake Case,Bagels,6.0,6.0,0.0,11,1,3.0,1.188279,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,0.16666666666666666
2019-06-30,18,810407,Plain Bagel,Core,Bake Case,Bagels,9.0,9.0,0.0,13,1,3.0,0.535501,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,0.1111111111111111
2019-06-30,18,820801,Blueberry Scone,Core,Bake Case,Muffins & Scones,6.0,4.0,0.0,11,0,3.0,0.0,6,2019,6,2.0,2.0,91101,NO,PASADENA,0.6666666666666666,0.0
2019-06-30,18,820902,Butter Croissant,Core,Bake Case,Pastries,10.0,3.0,0.0,10,0,3.0,0.0,6,2019,6,7.0,7.0,91101,NO,PASADENA,0.3,0.0
2019-06-30,18,820224,Chocolate Croissant,Core,Bake Case,Pastries,6.0,6.0,0.0,12,1,3.0,1.477843,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,0.16666666666666666
2019-06-30,18,810703,Cinnamon Roll,Core,Bake Case,Pastries,4.0,3.0,0.0,17,0,3.0,0.0,6,2019,6,1.0,1.0,91101,NO,PASADENA,0.75,0.0
2019-06-30,18,3000210,Cookie - Chocolate Chunk,Core,Bake Case,Cookies & Bars,2.0,2.0,12.0,17,0,3.0,0.0,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,0.0
2019-06-30,18,3000166,Tasty Tuna Salad Sandwich,Unassigned,Cold Case,Ready to Eat,2.0,2.0,1.0,12,0,3.0,0.0,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.0,0.0
2019-06-30,18,3000096,Smoked Salmon Sandwich,Unassigned,Cold Case,Ready to Eat,4.0,2.0,6.0,12,0,3.0,0.0,6,2019,6,2.0,0.0,91101,NO,PASADENA,0.5,0.0
2019-06-30,18,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,Unassigned,Cold Case,Ready to Eat,4.0,5.0,1.0,11,0,3.0,0.0,6,2019,6,0.0,0.0,91101,NO,PASADENA,1.25,0.0
